cabin,passenger_adults,passenger_children,passenger_infant,passenger_youngsters,time_to_flight,connections_flag,travel_duration,destination_cont,a_purchase
Economy,1,0,0,0,16,0,6,EU,0
Economy,1,0,0,0,8,0,2,EU,0
Economy,1,0,0,0,78,0,8,USA,0
Economy,1,0,0,0,26,0,133,EU,0
Economy,1,0,0,0,71,0,3,EU,0
Economy,1,0,0,0,6,0,11,EU,0
Economy,1,0,0,0,23,0,3,EU,0
Economy,2,0,0,0,31,1,9,AF,1
Economy,2,0,0,0,199,0,4,EU,1
Premium Economy,1,0,0,0,7,0,16,EU,0
Economy,5,0,0,0,211,0,5,USA,1
Business,2,0,0,0,43,1,7,AS,0
Business,2,1,0,1,190,0,8,AS,0
Economy,2,0,0,0,9,0,7,USA,0
Economy,2,0,0,0,10,0,4,EU,1
Economy,2,2,0,0,134,0,8,EU,0
Business,2,0,0,0,79,0,9,EU,0
Economy,1,0,0,0,9,0,12,EU,0
Economy,1,0,0,0,108,0,20,AS,0
Business,2,0,0,0,11,1,33,AS,0
Economy,1,0,0,0,124,0,2,EU,0
Business,1,0,0,0,22,0,10,EU,0
Economy,1,0,0,0,101,0,8,EU,0
Economy,2,0,0,1,74,1,22,EU,0
Premium Economy,2,0,0,0,16,1,18,USA,0
Economy,2,0,0,0,263,0,7,USA,0
Economy,1,0,0,0,14,1,4,EU,0
Economy,2,0,0,0,27,0,8,EU,1
Economy,2,0,0,0,143,0,15,EU,0
Economy,2,0,0,0,70,1,5,EU,0
Economy,1,0,0,0,4,1,52,EU,0
Business,2,2,0,0,172,0,16,USA,1
Economy,1,0,0,0,81,1,29,EU,0
Economy,1,0,0,0,64,1,16,AS,0
Premium Economy,2,0,0,0,273,1,9,USA,1
Economy,1,0,0,0,131,0,24,AS,0
Business,2,0,0,0,40,0,6,EU,0
Economy,1,0,0,0,91,1,36,EU,0
Economy,1,0,0,0,64,0,17,EU,0
Premium Economy,1,0,0,0,106,0,15,EU,0
Premium Economy,2,0,0,0,212,1,8,USA,1
Economy,1,0,0,0,57,0,18,USA,0
Economy,2,0,0,0,3,0,4,EU,0
Premium Economy,2,0,0,0,130,0,9,AS,0
Economy,2,0,0,0,187,0,6,EU,0
Economy,2,0,0,0,149,1,15,EU,0
Economy,1,0,0,0,9,0,3,EU,0
Economy,1,0,0,0,198,0,15,USA,0
Economy,1,0,0,0,90,0,3,EU,0
Economy,1,0,0,0,3,0,8,EU,0
Business,3,0,0,1,97,1,16,USA,0
Economy,1,0,0,0,17,0,11,EU,0
Economy,2,0,0,0,351,0,5,EU,0
Business,1,0,0,0,74,1,15,EU,0
Economy,1,0,0,0,10,1,12,EU,0
Economy,2,2,0,0,311,1,11,EU,1
Economy,1,0,0,0,64,1,9,EU,0
Economy,1,0,0,0,118,0,145,EU,0
Economy,1,0,0,0,39,0,8,EU,0
Economy,2,0,0,0,84,1,8,EU,0
Economy,1,0,0,0,206,0,15,AS,0
Economy,1,0,0,0,33,1,8,EU,0
Economy,1,0,0,0,108,0,6,USA,1
First,2,0,0,0,9,0,67,EU,0
Economy,4,0,0,0,48,0,2,EU,0
Economy,1,0,0,0,31,0,5,USA,1
Economy,2,0,0,0,47,0,7,EU,0
Economy,3,0,0,0,18,0,3,EU,0
Economy,1,0,0,0,111,0,4,AF,1
Business,1,0,0,0,21,0,2,EU,0
Economy,2,0,1,0,120,0,5,EU,0
Economy,5,0,0,0,19,0,44,EU,0
Economy,1,0,0,0,9,1,3,EU,0
Economy,2,0,0,0,41,0,4,EU,0
Premium Economy,2,0,0,0,3,0,25,USA,0
Economy,2,0,0,0,196,1,29,OC,0
Economy,2,0,0,1,60,1,22,EU,0
Premium Economy,1,0,0,0,11,1,33,USA,0
Economy,2,0,0,0,161,0,8,AS,0
Economy,1,0,0,0,43,0,16,EU,0
Business,1,0,0,0,100,0,3,EU,0
Economy,1,0,0,0,41,1,21,USA,0
Economy,2,1,1,0,248,0,12,USA,0
Economy,2,0,0,0,191,0,9,EU,0
Economy,1,0,0,0,16,0,3,USA,0
Economy,1,0,0,0,6,1,24,AS,0
Economy,1,0,0,0,4,0,5,USA,0
Economy,1,0,0,0,89,0,4,EU,0
Economy,1,0,0,0,27,0,3,EU,0
Economy,1,0,0,0,33,0,7,EU,0
Economy,2,1,0,0,78,0,44,EU,0
Economy,2,0,0,0,198,0,5,EU,0
Economy,6,0,0,0,12,0,2,EU,0
First,1,0,0,0,35,1,7,AF,0
